2025-05-25 20:58:26,861 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:26,862 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:26,862 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:28,863 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:28,863 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:28,863 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:30,864 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:30,864 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:30,864 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:32,865 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:32,865 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:32,865 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:34,866 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:34,866 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:34,866 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:36,867 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:36,867 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:36,867 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:38,868 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:38,868 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:38,868 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
2025-05-25 20:58:40,869 |    ERROR | mcp_agent | error:122 | Failed to capture screenshot: XGetImage() failed
2025-05-25 20:58:40,869 |    ERROR | mcp_agent | error:122 | Screenshot capture failed
2025-05-25 20:58:40,869 |  WARNING | mcp_agent | warning:114 | Failed to get screen context, retrying...
